,importer_rank,importer_raw_name,importer_deduped_name
0,1,DOLE FRESH FRUIT,DOLE FRESH FRUIT COMPANY
1,1,DOLE FRESH FRUIT CO.,DOLE FRESH FRUIT COMPANY
2,1,DOLE FRESH FRUIT COMPANY,DOLE FRESH FRUIT COMPANY
3,1,DOLE FRESH FRUITS,DOLE FRESH FRUIT COMPANY
4,2,SAMSUNG ELECTORNICS,SAMSUNG ELECTRONICS AMERICA INC
5,2,SAMSUNG ELECTORNICS AMERIC,SAMSUNG ELECTRONICS AMERICA INC
6,2,"SAMSUNG ELECTORNICS AMERIC A, INC.",SAMSUNG ELECTRONICS AMERICA INC
7,2,SAMSUNG ELECTORNICS AMERICA,SAMSUNG ELECTRONICS AMERICA INC
8,2,SAMSUNG ELECTORNICS AMERICA INC.,SAMSUNG ELECTRONICS AMERICA INC
9,2,"SAMSUNG ELECTORNICS AMERICA,",SAMSUNG ELECTRONICS AMERICA INC
10,2,"SAMSUNG ELECTORNICS AMERICA, IN",SAMSUNG ELECTRONICS AMERICA INC
11,2,"SAMSUNG ELECTORNICS AMERICA, INC",SAMSUNG ELECTRONICS AMERICA INC
12,2,"SAMSUNG ELECTORNICS AMERICA, INC.",SAMSUNG ELECTRONICS AMERICA INC
13,2,"SAMSUNG ELECTORNICS AMERICA,INC",SAMSUNG ELECTRONICS AMERICA INC
14,2,"SAMSUNG ELECTORNICS AMERICA,INC.",SAMSUNG ELECTRONICS AMERICA INC
15,2,SAMSUNG ELECTRO,SAMSUNG ELECTRONICS AMERICA INC
16,2,SAMSUNG ELECTRONCIS CANADA INC.,SAMSUNG ELECTRONICS AMERICA INC
17,2,SAMSUNG ELECTRONICS,SAMSUNG ELECTRONICS AMERICA INC
18,2,"SAMSUNG ELECTRONICS AMERIC A, INC.",SAMSUNG ELECTRONICS AMERICA INC
19,2,SAMSUNG ELECTRONICS AMERICA,SAMSUNG ELECTRONICS AMERICA INC
20,2,SAMSUNG ELECTRONICS AMERICA (SEA),SAMSUNG ELECTRONICS AMERICA INC
21,2,SAMSUNG ELECTRONICS AMERICA 85 CHAL,SAMSUNG ELECTRONICS AMERICA INC
