,port_code,port_name
0,101,"Portland, Maine"
1,102,"Bangor, Maine"
2,103,"Eastport, Maine"
3,104,"Jackman, Maine"
4,104,"Jackman, Maine"
5,105,"Vanceboro, Maine"
6,105,"Vanceboro, Maine"
7,106,"Houlton, Maine"
8,106,"Houlton, Maine"
9,107,"Fort Fairfield, Maine"
10,107,"Fort Fairfield, Maine"
11,108,"Van Buren, Maine"
12,108,"Van Buren, Maine"
13,109,"Madawaska, Maine"
14,109,"Madawaska, Maine"
15,110,"Fort Kent, Maine"
16,110,"Fort Kent, Maine"
17,111,"Bath, Maine"
18,111,"Bath, Maine"
19,112,"Bar Harbor, Maine"
20,112,"Bar Harbor, Maine"
21,114,"Manchester, New Hampshire"
22,114,"Manchester, New Hampshire"
23,115,"Calais, Maine"
24,115,"Calais, Maine"
25,118,"Limestone, Maine"
26,118,"Limestone, Maine"
27,121,"Rockland, Maine"
28,121,"Rockland, Maine"
29,122,"Jonesport, Maine"
30,122,"Jonesport, Maine"
31,127,"Bridgewater, Maine"
32,127,"Bridgewater, Maine"
33,131,"Portsmouth, New Hampshire"
34,131,"Portsmouth, New Hampshire"
35,132,"Belfast, Maine"
36,150,"Border Patrol Sector, Hodgdon, Maine"
37,150,"Border Patrol Sector, Hodgdon, Maine"
38,151,"Houlton Border Patrol, Houlton, Maine"
39,151,"Houlton Border Patrol, Houlton, Maine"
40,152,"Searsport, Maine"
41,152,"Searsport, Maine"
42,153,"Jackman Border Patrol, Jackman, Maine"
43,153,"Jackman Border Patrol, Jackman, Maine"
44,154,"Rangeley Border Patrol, Rangeley, Maine"
45,154,"Rangeley Border Patrol, Rangeley, Maine"
46,155,"Van Buren Border Patrol, Van Buren, Maine"
47,155,"Van Buren Border Patrol, Van Buren, Maine"
48,156,"Fort Fairfield Border Patrol, Fort Fairfield, Maine"
49,156,"Fort Fairfield Border Patrol, Fort Fairfield, Maine"
50,157,"Calais Border Patrol, Calais, Maine"
51,157,"Calais Border Patrol, Calais, Maine"
52,181,"Lebanon Airport, New Hampshire"
53,182,"Manchester User Fee Airport, New Hampshire"
54,182,"Manchester User Fee Airport, New Hampshire"
55,201,"St. Albans, Vermont"
56,201,"St. Albans, Vermont"
57,203,"Richford, Vermont"
58,203,"Richford, Vermont"
59,206,"Beecher Falls, Vermont"
60,206,"Beecher Falls, Vermont"
61,207,"Burlington, Vermont"
62,209,"Derby Line, Vermont"
63,210,"Newport, Vermont"
64,211,"Norton, Vermont"
65,212,"Highgate Springs/Alburg, Vermont"
66,214,"Swanton, Vermont"
67,221,"Northeast Region, Boston, Massachusetts"
68,221,"Northeast Region, Boston, Massachusetts"
69,250,"Border Patrol Sector, Swanton, Vermont"
70,250,"Border Patrol Sector, Swanton, Vermont"
71,251,"Swanton Border Patrol, Swanton, Vermont"
72,251,"Swanton Border Patrol, Swanton, Vermont"
73,252,"Richford Border Patrol, Richford, Vermont"
74,252,"Richford Border Patrol, Richford, Vermont"
75,253,"Newport Vermont Border Patrol, Newport, Vermont"
76,253,"Newport Vermont Border Patrol, Newport, Vermont"
77,254,"Beecher Falls Border Patrol, Beecher Falls, Vermont"
78,254,"Beecher Falls Border Patrol, Beecher Falls, Vermont"
